px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.4564	-10.0121	-2.73989	-1.72518	-0.974715	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.548126
4.4885	-9.86665	-2.73813	-1.78086	-0.976183	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.361227
4.55033	-9.72119	-2.73701	-1.8523	-0.993401	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.477195
4.56424	-9.57108	-2.74584	-1.87415	-0.949674	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.73191
4.64272	-9.43027	-2.7465	-1.94599	-0.967968	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.653161
4.71817	-9.29544	-2.74502	-2.01247	-0.982955	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.514246
4.82096	-9.15742	-2.75422	-2.08836	-1.00139	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.938424
4.90308	-9.03893	-2.75742	-2.14884	-1.01398	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.185976
4.99284	-8.92863	-2.75805	-2.20702	-1.02061	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.151661
5.0643	-8.80423	-2.75307	-2.23505	-0.980908	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.55555
5.17982	-8.68199	-2.76443	-2.29845	-0.9868	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.535462
5.27847	-8.58093	-2.76632	-2.34979	-0.987834	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.116395
5.38906	-8.47836	-2.77619	-2.40303	-0.988931	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.317965
5.47843	-8.36759	-2.76591	-2.42297	-0.939953	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.06949
5.58612	-8.26621	-2.76436	-2.46882	-0.935218	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.146962
5.66484	-8.14517	-2.75126	-2.46384	-0.856748	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.62084
5.79339	-8.04021	-2.7649	-2.50963	-0.852539	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.532821
5.88879	-7.92797	-2.75514	-2.51311	-0.790497	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.03636
6.01844	-7.82643	-2.76818	-2.55225	-0.784026	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.514394
6.11234	-7.71259	-2.75444	-2.54307	-0.708764	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.49822
6.24034	-7.61649	-2.76337	-2.57664	-0.70236	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.293638
6.34354	-7.51009	-2.75181	-2.57177	-0.638732	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.32347
6.46849	-7.4198	-2.75565	-2.60059	-0.632617	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.179602
6.58194	-7.3382	-2.75825	-2.62367	-0.623589	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.809966
6.70854	-7.2517	-2.77346	-2.64706	-0.614428	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.702047
6.7877	-7.1179	-2.74463	-2.58875	-0.480991	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	15.2294
6.90917	-7.02398	-2.74719	-2.60505	-0.471718	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.425642
7.04003	-6.94605	-2.74815	-2.62849	-0.46778	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0426078
